Question,Correct Answer,Wrong Answer,Wrong Answer,Wrong Answer,Stage,Q is long? (Y/N),A is long? (Y/N)
What was the first thing YAH created in the bible? ,Heaven and earth,Animals,Man,Water,0,N,N
Why did Israel go to into Egypt? ,Famine in land,To find Joseph,To get money,Abundance in Canaan,0,N,N
Why did Israel go to into slavery? ,To fulfill prophecy ,They were kidnapped,As a trade for money,They owed Egypt ,0,N,N
How did Joseph end up being Pharaoh's assistant?,He interpreted Pharaoh's dream,He saved Pharaoh's daughter,He passed the exam,All other wise men were killed,0,N,N
Why did Pharaoh's (after Joseph) attitude change toward Israel? ,He felt Israel's population would surpass Egypt ,He didn't like Israel's ways,Israel was stealing from him,Israel wouldn't join his army,0,N,N
What tribe was not tricked into slavery while in Egypt? ,Levi,Judah,Benjamin,Gad,0,N,N
What did Moses do to have to leave Egypt? ,Killed a guard who killed a slave,Married an outsider,Killed a slave,Plotted treason against Pharoah ,0,N,N
While Moses was feeding Jethro's flock what happened?,Moses saw a  burning bush,The entire flock disappeared ,Moses saw a burning building,Moses saw a plague coming ,0,N,N
What happened when Moses saw the burning bush?,The burning bush wasn't consumed,The bush eventually shriveled to dust,The bush took Moses to heaven,The bush produced unclean things,0,N,N
What was Moses' first question to the angel of YAH at the burning bush? ,Who am I that I should go to Pharaoh?,What are you doing here?,Who sent you?,Will I be compensated for my journey?,0,N,N
According to Scripture what is YAHUAHA's name forever?,I AM THAT I AM,Lord,Master,He Reigns,0,N,N
Who spoke for Moses' during the plagues?,Aaron,Miriam,Abraham,Sarah,0,N,N
How old were Moses and Aaron during the plagues? ,"Aaron 43, Moses 40","Aaron 68, Moses 42","Aaron 17, Moses 21","Aaron 38, Moses 45",0,N,N
How many plagues did Israel have to face before leaving Egypt? ,10,12,14,5,0,N,N
The first plague of Egypt was? ,River to blood,Frogs,Dead cattle,Locusts,0,N,N
The final plague of Egypt was? ,Killing of the first born,Locusts,Frogs,River to blood,0,N,N
Which was not a plague of Egypt? ,Flood,Boils,Darkness,Severe thunderstorm,0,N,N
Where was Israel protected from the swarm of flies? ,Goshen,Egypt,Elim,Jerusalem,0,N,N
When did the plague of darkness appear?,After the plague of hail,,,,0,N,N
Where did darkness on the earth a second time?,In the houses of Egypt but not in the houses of Israel,In the houses of Egypt and in the houses of Israel,In the houses of Israel but not in the houses of Egypt,Neither in Egypt or Israel ,0,N,N
How long did darkness last on the earth a second time? ,3 days,10 days,2 weeks,1 month,0,N,N
Israel was blessed on their exodus out of Egypt with ...? ,Borrowed jewels of gold and silver,Houses and dwellings,Egyptian food,Healthcare for the long journey,0,N,N
What was the feast day created from the last plague of Egypt? ,Passover,Feast of Weeks,Feast of Tabernacles,Feast of Trumpets,0,N,N
How long did Israel stay under bondage in Egypt? ,430 years,360 years,500 years,280 years,0,N,N
What was not an instruction on how to keep Passover?,Boil the lamb in water,Eat the lamb in haste,Eat the lamb with your staff in hand,Leave none of the lamb until morning,0,N,N
What happened during the beginning of the year in Egypt? ,YAH freed Israel from bondage,Israel's debt to Egypt tripled,Israel took a vacation from Goshen,Israel sacrificed their first born,0,N,N
What month is the beginning of the year? ,Nisan,Aviv,Iyar,Sivan,0,N,N
The first feast of the year is called? ,Passover,Feast of first fruits,Feast of Trumpets,Sukkot,0,N,N
Passover starts the ____day of the month,14,19,21,1,0,N,N
"In preparation for Passover, one gets a lamb on the __ day of the month",10,15,2,5,0,N,N
"For the Feast of Unleavened Bread, one is to eat unleavened bread for how long?",7 days,5 days,14 days,31 days,0,N,N
"To partake in Passover, one had to ....",Be circumcised ,Pay money,Give a gift to their brother,Clean their dwelling,0,N,N
Name 5 foods that contain leaven. ,"bread, crackers, cookies, doughnuts, anything with yeast or baking soda to name a few",,,,0,N,N
Which is a way to NOT observe the 7th day of the Feast of Unleavened Bread,Selling in the temple,No manner of work,Have a holy assembly,Eat unleavened bread,0,N,N
How did YAH lead the mixed multitude out of Egypt? ,A pillar of fire by night; a cloud by day,A pillar of fire by day; a cloud by night,"Rain by day, a pillar of fire by night",Lightning strikes ,0,N,N
What stopped Egypt's army from capturing Israel in their exodus?,The red sea,Israel's army,A massive thunderstorm,Dense fog ,0,N,N
How did YAH help Israel escape Egypt?,He took off the Egyptian army's chariot wheels,He struck the Egyptian army with lightning,He sent another plague while the Egyptian army was in pursuit,He gave the Egyptian army food poisoning,0,N,N
What are the first ~10 words from the victory song of Moses? ,"I will sing unto Yahuah, for he has triumphed gloriously",YAHUAH is my light and strength,YAHUAH should be praised!,I will bless Elohim's Name,0,N,N
"At Marah, where the waters were bitter, the Israelites began to...",Murmur and complain,Collect it for their enemies,Die from thirst,Rejoice and give thanks,0,N,N
By YAH Moses sweetened the bitter waters and promised no diseases from Egypt if Israel did what? ,Obeyed His commandments,Gave Him all sacrifices,Created idols,Prayed and fasted,0,N,N
What did the Israelites complain about first in the wilderness?,The water was bitter,They didn't have seasoning for their food,They didn't have wine,Hard Dough bread,0,N,N
What is the first commandment in the Bible?,Be fruitful and multiply,Thou shall not kill,Thou shall not kill,Rejoice always,0,N,N
What is the day to keep holy?,7,1,3,5,0,N,N
What is the seventh day of the week to keep Holy?,Saturday,Sunday,Monday,Friday,0,N,N
What are the 2 commandments to sum all others,Love God and love your neighbor as yourself,Be holy and rejoice,Don't commit adultery and idolatry,Care for the earth and people,0,N,N
What did Sarah do when the Angel spoke of her having a child in her old age?,Laugh,Cry,Jump for joy,Run,0,N,N
What does YAH love more than a sacrifice?,Obedience,Money,Truthfulness,Reading the bible,0,N,N
What was Eve's punishment for eating of the Tree of Knowledge?,Childbearing pain,Immortality,Infertility,Death of a son,0,N,N
What was Adam's punishment for eating of the Tree of Knowledge?,Work for food,Empty belly,Unstable home,Unfulfilled desire,0,N,N